Title,Description
"Belfast, Maine","BELFAST, MAINE is a film about ordinary experience in a beautiful old New England port city. It is a portrait of daily life with particular emphasis on the work and the cultural life of the community. Among the activities shown in the film are the work of lobstermen, tug-boat operators, factory workers, shop owners, city counselors, doctors, judges, policemen, teachers, social workers, nurses and ministers. Cultural activities include choir rehearsal, dance class, music lessons and theatre production."
Bee and PuppyCat,It's a puppy and a cat. Could it get any better? Yes.
F for Fake,"Documents the lives of infamous fakers Elmyr de Hory and Clifford Irving. De Hory, who later committed suicide to avoid more prison time, made his name by selling forged works of art by painters like Picasso and Matisse. Irving was infamous for writing a fake autobiography of Howard Hughes. Welles moves between documentary and fiction as he examines the fundamental elements of fraud and the people who commit fraud at the expense of others."
Cria!,"In Madrid, the orphan sisters Irene, Ana and Maite are raised by their austere aunt Paulina together with their mute and crippled grandmother after the death of their mother and their military father Anselmo. Ana is a melancholic girl, fascinated by death, after seeing her mother having a painful death and her father dead in bed."
The Deer Hunter,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return."
Grand Illusion,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu."
Black Mirror: White Christmas,Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.
The Given Word,"Zé is a very poor man whose most prized possession is his donkey. When his donkey falls terminally ill, Zé makes a promise to Saint Bárbara: If his donkey recovers, he will carry a cross - like Jesus - all the way from his city to Saint Bárbara's church, in the state capital. Upon the recovery of his donkey, Zé leaves on his journey. He makes it to the church, but the priest refuses to accept the cross once he discovers the context of Zé's promise."
Early Summer,A 28-year-old single woman is pressured to marry.
Bo Burnham: Make Happy,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about life, death, sexuality, hypocrisy, mental illness and Pringles cans."
Say Nothing,"Through the eyes of various Irish Republican Army (IRA) members, explore the extremes some people will go to in the name of their beliefs, the way a deeply divided society can suddenly tip over into armed conflict, the long shadow of radical violence for both victims and perpetrators, and the emotional and psychological costs of a code of silence."
Lady Parts,"In this quick British comedy short, Amina is a young Muslim guitarist who recently stopped playing due to her nerves. In her pursuit of a man, she seeks the help of Lady Parts, an all-female Muslim punk trio in need of a lead guitarist."
Prelude to Ecstasy,"A cinematic representation of the band's debut album, merging their signature blend of baroque pop and theatrical aesthetics with evocative visual storytelling."
The Emigrants,"Karl and Kristina Nilsson work on a farm in a cold and desolate area of 19th century rural Sweden. Growing privations, combined with increasing social and religious persecution, motivate the Nilssons and many of their neighbors to strike out for the United States. Following a treacherous ocean crossing and an equally grueling land passage, the emigrants find themselves in seemingly idyllic Minnesota."
Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
Top Gear: The Great African Adventure,"Another expedition for Jeremy Clarkson, Richard Hammond and James May. This time around, our intrepid explorers take on the task of finding the source of the Nile in three barely roadworthy estate cars. After surmounting the worst that the local hotels and traffic jams can throw at them, the dynamic trio set off into the heat of the African sun, taking dense forests, the ferocious wildlife, and wheel-sucking mud in their stride - well, almost."
Sound of Metal,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
Your Lie in April,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?"
La Belle Noiseuse,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model."
"They Shoot Horses, Don't They?","In the midst of the Great Depression, manipulative emcee Rocky enlists contestants for a dance marathon offering a $1,500 cash prize. Among them are a failed actress, a middle-aged sailor, a delusional blonde and a pregnant girl."
Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
National Theatre Live: A Midsummer Night's Dream,"A feuding fairy King and Queen of the forest cross paths with four runaway lovers and a troupe of actors trying to rehearse a play. As their dispute grows, the magical royal couple meddle with mortal lives leading to love triangles, mistaken identities and transformations… with hilarious, but dark consequences."
The Rose of Versailles,"Raised from birth as a man, the Lady Oscar commands the palace guards at Versailles in the years before the French Revolution. Her beauty and noble spirit make her a shining figure in the eyes of both men and women but she is torn between her chosen life of service and duty to class and country and her own heart and desires. She lives as a noble amidst the opulence of Versailles but her keen senses and compassion are not blinded to the poverty of the French people."
"Black Country, New Road: 'Live from the Queen Elizabeth Hall'","Black Country, New Road performing tracks from 'For The First Time' and 'Ants From Up There' live from the Queen Elizabeth Hall"
2017 BTS LIVE TRILOGY EPISODE III: THE WINGS TOUR IN SEOUL,"BTS Live Trilogy Episode III: The Wings Tour (stylized in all caps) was the second worldwide concert tour by BTS to promote their Wings series, including their second studio album Wings and their repackage You Never Walk Alone."
Near Death,"NEAR DEATH is a film about the Medical Intensive Care Unit at Boston's Beth Israel Hospital. The film is concerned with how people face death. More specifically the film presents the complex interrelationships among patients, families, doctors, nurses, hospital staff and religious advisors as they confront the personal, ethical, medical, psychological, religious and legal issues involved in making decisions about whether or not to give life-sustaining treatment to dying patients."
Sense8: Amor Vincit Omnia,"In the sweeping series finale, passions run high as the Sensates and their closest allies fight to save the cluster and stop their enemies for good."
Kamikaze Girls,"Momoko is an ordinary girl, living an ordinary life. Ordinary, that is, if you define ordinary as wearing elaborate lolita dresses from the Rococo period in 18th Century France. However, when punk girl and self-styled 'Yanki' Ichiko comes calling, her days as 'ordinary' are most certainly numbered..."
"What's Opera, Doc?","Elmer Fudd is again hunting rabbits - only this time it's an opera. Wagner's Siegfried with Elmer as the titular hero and Bugs as Brunnhilde. They sing, they dance, they eat the scenery."
Winter Sleep,"Aydın is a hotel owner and a retired actor in rural Turkey. As winter emerges he begins navigating the conflicts within the relationships with his wife, sister and existence."
Little Miss Sunshine,"A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant."
PlayTime,"Clumsy Monsieur Hulot finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet with a business contact but soon becomes lost. His roundabout journey parallels that of an American tourist, and as they weave through the inventive urban environment, they intermittently meet, developing an interest in one another. They eventually get together at a chaotic restaurant, along with several other quirky characters."
Good Morning,"A lighthearted take on director Yasujiro Ozu’s perennial theme of the challenges of inter­generational relationships, Good Morning tells the story of two young boys who stop speaking in protest after their parents refuse to buy a television set. Ozu weaves a wealth of subtle gags through a family portrait as rich as those of his dramatic films, mocking the foibles of the adult world through the eyes of his child protagonists. Shot in stunning color and set in a suburb of Tokyo where housewives gossip about the neighbors’ new washing machine and unemployed husbands look for work as door-to-door salesmen, this charming comedy refashions Ozu’s own silent classic I Was Born, But . . . to gently satirize consumerism in postwar Japan."
Goodbye Brooklyn Nine-Nine,"We rejoice in the best moments, hear from the cast, creatives and celebrity fans, and explore what made it a TV staple."
RRR,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.
The Chosen: Season 3  - Episodes 1 & 2,"After Jesus delivers His pivotal Sermon on the Mount, word continues to spread about His ministry, gaining more attention from His followers and provoking the watchful eye of Roman authorities, who aren’t quite united in their approach. Jesus’ disciples and closest friends open their arms to His newest follower, Judas, while learning to live and work with and do two-by-two ministry with one another. Thomas and Ramah’s relationship continues to grow while Simon and Eden discuss how their future family life can coincide with his ministry commitments."
Au Revoir les Enfants,"Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie—until a secret is revealed. Based on events from writer-director Malle’s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening."
The Wire Odyssey,A retrospective documentary of the first four seasons of the acclaimed series The Wire.
1 Litre of Tears,"1 Rittoru no Namida is a Japanese television drama for Fuji Television about a girl who was diagnosed with an incurable degenerative disease at 15, but was able to continue her life until her death at the age of 25."
Persepolis,"In 1970s Iran, Marjane 'Marji' Satrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own."
Drive My Car,"Yusuke Kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct Uncle Vanya at a theater festival in Hiroshima. There he meets Misaki, an introverted young woman, appointed to drive his car. In between rides, secrets from the past and heartfelt confessions will be unveiled."
The Virtues,"Joseph falls into despair when his nine-year-old son Shea leaves for Australia with his ex Debbie. Suffering the hangover from hell, he walks away from his present life and boards a boat bound for Ireland to confront memories from his childhood."
David Attenborough: A Life on Our Planet,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations."
In a Lonely Place,"A violent screenwriter and a female neighbor fall in love after she clears him of murder, but she begins to have second thoughts."
Normal People Confessions,Three iconic Irish characters meet in confession.
Mob Psycho 100: Reigen - The Miraculous Unknown Psychic,
Barber's Tales,"In the 1970s, a widow in a remote village takes over her husband’s barber shop. She becomes the laughing stock of the male-dominated community and in the process discovers freedom and liberation."
Daughters,"Four young girls prepare for a special Daddy Daughter Dance with their incarcerated fathers, as part of a unique fatherhood program in a Washington, D.C., jail."
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
A Face in the Crowd,The rise of a raucous hayseed named Lonesome Rhodes from itinerant Ozark guitar picker to local media rabble-rouser to TV superstar and political king-maker. Marcia Jeffries is the innocent Sarah Lawrence girl who discovers the great man in a back-country jail and is the first to fall under his spell.
SEVENTEEN [RIGHT HERE] WORLD TOUR IN CINEMAS,"Experience the unforgettable moments of SEVENTEEN [RIGHT HERE] WORLD TOUR on the big screen, starting with the electrifying kickoff concert in Goyang! From the special concert version of ""Fear"" to exclusive live performances of ""LOVE, MONEY, FAME (feat. DJ Khaled)"" and ""Ash"", the full setlist — available only at the concert — will be screened in its entirety! Get ready to be immersed in the dynamic charm of SEVENTEEN’s three iconic units — Hip-hop Unit, Performance Unit, and Vocal Unit — as well as a thrilling relay of their biggest title tracks, showcasing SEVENTEEN’s A to Z!"
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell","Interviews with the cast, creators, journalists and celebrity fans, plus behind-the-scenes footage from season six."
American Movie,"American Movie documents the story of filmmaker Mark Borchardt, his mission, and his dream. Spanning over two years of intense struggle with his film, his family, financial decline, and spiritual crisis, American Movie is a portrayal of ambition, obsession, excess, and one man's quest for the American Dream."
The Tree and the Cat,"Away from people, animals, forests and fields stood a very tall tree. It did not need anyone, it was completely indifferent to everyone. Once a cat wanted to learn the style of life of the tree, which has allowed her to stay near it, so that she could take over its attitude to everything around. But eventually the cat affects the tree as well..."
Human,"A collection of stories about and images of our world, offering an immersion to the core of what it means to be human. Through these stories full of love and happiness, as well as hatred and violence, it brings us face to face with the Other, making us reflect on our lives. From stories of everyday experiences to accounts of the most unbelievable lives, these poignant encounters share a rare sincerity and underline who we are – our darker side, but also what is most noble in us, and what is universal. Our Earth is shown at its most sublime through never-before-seen aerial images accompanied by soaring music, resulting in an ode to the beauty of the world, providing a moment to draw breath and for introspection. This film is a politically engaged work which allows us to embrace the human condition and to reflect on the meaning of our existence."
Common Threads: Stories from the Quilt,"On the eve of 1987's Second National March on Washington for Lesbian and Gay Rights, surviving families and friends of people who have died of AIDS prepare panels to be added to a large-scale memorial quilt project. Drawing from the sea of names memorialized, director Robert Epstein focuses on the lives of six people. Alongside the intimate profiles offered, through news footage and interviews, Epstein puts the AIDS crisis in the larger context of social and government response to the disease."
Sopranos Unauthorized: Shooting Sites Uncovered,"This independent documentary goes further than the Feds to reveal the most talked-about show on TV: its starts, production techniques, and secret locations deep in the heart of New Jersey. Hosted by John Fiore (Gigi of The Sopranos), and featuring Marie Ruffolo."
John Mulaney: Kid Gorgeous at Radio City,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special."
Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality."
Unnatural,"Mikoto, a forensic investigative examiner, and her partners trace down the evidence of crimes and unravel the puzzles behind mysterious deaths."
Girls' Last Tour,"Civilization is dead, but Chito and Yuuri are still alive. So they hop aboard their beloved Kettenkrad motorbike and aimlessly wander the ruins of the world they once knew. Day after hopeless day, they look for their next meal and fuel for their ride. But as long as the two are together, even an existence as bleak as theirs has a ray or two of sunshine in it, whether they're sucking down their fill of soup or hunting for machine parts to tinker with. For two girls in a world full of nothing, the experiences and feelings the two share give them something to live for."
The Sting,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.
Frozen Planet II,"Ten years on from the original Frozen Planet, this documentary series takes audiences back to the wildernesses of the Arctic and Antarctica and tells the complete story of the entire frozen quarter of our planet that’s locked in ice and blanketed in snow."
The General,"During America’s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle."
Thelma & Louise,"Taking a break from their dreary lives, close friends Thelma and Louise embark on a short weekend trip that ends in unforeseen incriminating circumstances. As fugitives, both women rediscover the strength of their bond and their newfound resilience."
Capernaum,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him."
"Night Is Short, Walk On Girl","As a group of university students go out for a night on the town, a sophomore known only as ""The Girl with Black Hair"" experiences a series of surreal encounters with the local nightlife – all the while unaware of the romantic longings of ""Senpai"", a senior student who has been creating increasingly fantastic and contrived reasons to run into her in an effort to win her heart."
Mind Game,"Nishi is a loser who has a crush on his childhood girlfriend. After an encounter with the Japanese mafia, he journeys to heaven and back, and ends up trapped in an even more unlikely place."
A Taxi Driver,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job."
"The Handmaid's Tale Scene Recreation: ""Offred""","A recreation of the opening scene from the pilot episode of The Handmaid's Tale, ""Offred."" Originally directed by Reed Morano, ASC. Original cinematography by Colin Watkinson, ASC, BSC. Original teleplay written by Bruce Miller. Made in Misael Sanchez's ""Filmmaking: Visualizing and Creating Moving Images for the Screen"" at Sarah Lawrence College."
The Conformist,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
Sherlock: The Great Game,"Mycroft needs Sherlock's help, but a remorseless criminal mastermind puts Sherlock on a distracting crime-solving spree via a series of hostage human bombs through which he speaks."
Investigation of a Citizen Above Suspicion,"Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects."
The Corner,"The Corner presents the world of Fayette Street using real names and real events. The miniseries tells the true story of men, women and children living amid the open-air drug markets of West Baltimore. It chronicles a year in the lives of 15-year-old DeAndre McCullough, his mother Fran Boyd, and his father Gary McCullough, as well as other addicts and low-level drug dealers caught up in the twin-engine economy of heroin and cocaine."
Texhnolyze,"Denizens of Lux have come to call it ""The City"" and treat it as a sentient force. Three factions vie for control of the city: the Organo, a strictly professional conglomerate with ties to the criminal underworld in the prosthetics business; the Union, a fanatical populist group interfering with Organo's affairs; and Racan, a marauding group of Texhnolyzed youths."
Ripley,"A grifter in 1960s New York is hired to convince a wealthy man's son to return home from Italy and begins a life of deceit, fraud and murder."
A Small Light,"Twentysomething Miep Gies didn't hesitate when her boss Otto Frank came to her and asked her to hide his family from the Nazis during World War II. For the next two years, Miep, her husband Jan, and the other helpers watched over the eight souls in hiding in the Secret Annex. And it was Miep who found Anne’s Diary and kept it safe so Otto, the only one of the eight who survived, could later share it with the world as one of the most powerful accounts of the Holocaust."
Pixote,"10-year-old Pixote endures torture, degradation, and corruption at a local youth detention center where two of its members are murdered by policemen who frame Lilica, a 17-year-old trans hustler. Pixote helps Lilica and three other boys escape and they start to make their living by a life of crime which only escalates to more violence and death."
Famous Last Words: Dr. Jane Goodall,"Dr. Jane Goodall connected humanity and nature in unprecedented ways. In this deeply personal interview, she shares her final message with the world."
jeen-yuhs: A Kanye Trilogy,"The lives of an emerging superstar and a filmmaker intertwine in this intense, intimate docuseries charting Kanye West's career, filmed over two decades."
Virumaandi,"Angela, a civil advocate interviewing inmates at the Madras Central Prison for a documentary on the death penalty meets Virumaandi and Kothaala, who are sentenced to death and life respectively for their roles in perpetrating the massacre of 24 people during a brutal clash between feuding villages. As tensions mount within the prison walls, she listens to their conflicting accounts of the same story."
Hannah Gadsby: Nanette,The Australian comedian Hannah Gadsby is taking an anti-comedy stance in her newest special.
Signal,Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.
Prince: Sign 'o' the Times,"In 1987, to capitalize on his growing success in Europe, Prince toured extensively to promote the album of the same name and sales increased accordingly. However, the United States remained resistant to his latest album, and sales began to drop; it was at this point that Prince decided to film a live concert promoting the new material, for eventual distribution to theaters in America. Featuring the band that accompanied Prince on his 1987 Sign o' the Times Tour, including dancer Cat Glover, keyboardist Boni Boyer, bassist Levi Seacer, Jr., guitarist Miko Weaver, drummer Sheila E. and former member of The Revolution keyboardist Dr. Fink, the film sees the group perform live on stage (although ""U Got the Look"" is represented by its promotional music video)."
Doctor Who: Genesis of the Daleks,The Time Lords dispatch the Doctor to the past of the planet Skaro on his deadliest adventure yet — to prevent the creation of the Daleks.
The Life of Oharu,"In Edo Period Japan, a noblewoman's banishment for her love affair with a lowly page signals the beginning of her inexorable fall."
The Message,"In sixth-century Mecca, Prophet Muhammad receives his first revelation from God as a messenger. Three years later, he's not alone in his quest and publicly declares his prophecy. Muhammad is fought by Abu Sufian and his wife Hind, rulers of Mecca. Muhammad's followers are hunted and tortured but he continues his calling."
I Know This Much Is True,"The parallel lives of identical twin brothers Dominick and Thomas Birdsey in an epic story of betrayal, sacrifice and forgiveness set against the backdrop of 20th century America."
Love Streams,"Two closely-bound, emotionally wounded siblings reunite after years apart."
A Dog's Will,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise."
Marketa Lazarová,"Mikolás and his brother Adam end up with a young German hostage of noble blood during a robbery. While their clan prepares for the wrath of the German king, Mikolás is sent to pressure his neighbor Lazar into a defense pact. Persuasion fails and he abducts Lazar's daughter Marketa on the eve of her initiation as a nun in an act of vengeance."
The 3rd Annual Live 'On Cinema' Oscar Special,Tim Heidecker and Gregg Turkington proudly uphold the tradition of hosting the worst Oscar coverage show in history while awaiting the arrival of a legend of Old Hollywood.
Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet."
"Spring, Summer, Fall, Winter... and Spring","An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by."
Through the Olive Trees,"When the actor in a scene for his film Life And Nothing More… has to quit, a film director casts another man for the part. However, complications arise since the man and the woman who was cast for the scene know each other."
"War and Peace, Part I: Andrei Bolkonsky","The first film of a four-part adaptation of Leo Tolstoy’s 1869 novel. In St. Petersburg of 1805, Pierre Bezukhov, the illegitimate son of a rich nobleman, is introduced to high society. His friend, Prince Andrei Bolkonsky, joins the Imperial Russian Army as aide-de-camp of General Mikhail Kutuzov in the War of the Third Coalition against Napoleon."
Ivan's Childhood,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers."
"Comrades, Almost a Love Story","Jun arrives in Hong Kong from mainland China, hoping to be able to earn enough money to marry his girlfriend back home. He meets the streetwise Qiao and they become friends. As friendship turns into love, problems develop, and although they seem meant for each other they somehow keep missing out."
Children of Heaven,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits."
I Am Not Your Negro,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States."
Original Cast Album: Company,"In 1970, right after the triumphant premiere of Stephen Sondheim’s groundbreaking concept musical Company, the renowned composer and lyricist, his director Harold Prince, the show’s stars, and a large pit orchestra all went into a Manhattan recording studio as part of a time-honored Broadway tradition: the making of the original cast album. What ensued was a marathon session in which, with the pressures of posterity and the coolly exacting Sondheim’s perfectionism hanging over them, all involved pushed themselves to the limit."
Les Misérables: 25th Anniversary in Concert,"This concert, recorded to celebrate the 25th anniversary of the landmark musical Les Miserables, gathers the casts of the show's 2010 original production at the Queen's Theatre, the 1985 original production by the London company, and the 2010 production at the Barbican together for one performance. Together with talents like Michael Ball, Hadley Fraser, and John Owen-Jones, the performers present the play's musical numbers in a semi-theatrical style, fully costumed and with all the emotion of the musical's heyday."
My Neighbor Totoro,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her."
A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?"
The Young Pope,"Lenny Belardo, the youngest and first American Pope in the history of the Church, must establish his new papacy and navigate the power struggles of the closed, secretive Vatican."
One Week,"Newlyweds receive a build-it-yourself house as a wedding gift—and the house can, supposedly, be built in ""one week"". A rejected suitor secretly re-numbers packing crates, and the husband struggles to assemble the house according to this new 'arrangement' of its parts."
Euphoria: F*ck Anyone Who’s Not a Sea Blob,"Over the Christmas holiday, Jules reflects on the year."
Joint Security Area,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides."
Time: The Kalief Browder Story,"The story of a teenager wrongfully charged with theft and jailed at Riker's Island prison for over 1,000 days."
Daisy Jones & the Six,"In 1977, Daisy Jones & The Six were on top of the world. Fronted by two charismatic lead singers — Daisy Jones and Billy Dunne — the band had risen from obscurity to fame. And then, after a sold-out show at Chicago's Soldier Field, they called it quits. Now, decades later, the band members finally agree to reveal the truth."
Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice."
Day of Wrath,"In a Danish village in the early 1600s, a young woman named Anne, whose mother was thought to be a witch, develops sympathy toward an old woman, Marte, who is accused of witchcraft. The intervention of Anne's older but kindly husband, Pastor Absalon saved her mother -- but now, urged on by his overbearing mother, he refuses to help Marte. When Absalon's son returns home and is attracted to Anne, it's a matter of time before her family destiny catches up with her."
The Metamorphosis of Birds,"Filmmaker Catarina Vasconcelos sifts through the memories of her ancestors. Her naval officer grandfather, Henrique, who married her grandmother, Beatriz, on her 21st birthday, spent extended periods at sea, leaving her with six children. This is the beginning of a generational saga."
Kitbull,"An unlikely connection sparks between two creatures: a fiercely independent stray kitten and a pit bull. Together, they experience friendship for the first time."
Beastie Boys: Video Anthology,"The Beastie Boys are among the most influential groups of the last two decades. As their music has opened hip-hop to a wider audience and changed the parameters of its sound, their ambitious music videos have carried the medium to new levels of artistic expression. This groundbreaking two-disc anthology showcases eighteen videos containing alternate visual angles and multiple audio tracks. Loaded with never-before-seen footage and unreleased music tracks, this special edition also contains a trove of rare still photos and exclusive audio commentary by the band and the video directors."
Hamlet,"Hamlet captures the Almeida Theatre's 2017 acclaimed production of William Shakespeare's great play, recorded as-live in its West End transfer on the stage of London's Harold Pinter Theatre. Robert Icke's innovative modern-dress production, featuring Andrew Scott, Juliet Stevenson, Angus Wright and Jessica Brown Findlay, has been widely acclaimed as a dazzlingly intelligent, forcefully contemporary staging. The Evening Standard hailed Andrew Scott's 'career-defining performance... he makes the most famous speeches feel fresh and unpredictable.'"
Meiyazhagan,"Twenty-two years after losing his home, Arulmozhi Varman returns to his native Thanjavur to attend his cousin's wedding. Amidst the celebrations, Arul is reintroduced to an upbeat man whom he cannot recall. With the help of the unknown man, Arul reconnects with his past."
Doctor Who: City of Death,"While taking in the sights of Paris in 1979, the Doctor and Romana sense that someone is tampering with time. Who is the mysterious Count Scarlioni? Why does he seem to have counterparts scattered through time? And just how many copies of the Mona Lisa did Leonardo da Vinci paint?"
North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase."
Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
HAIKYU!! The Dumpster Battle,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?"
Star Trek: The Next Generation - The Best of Both Worlds,"The Enterprise has a deadly encounter with the Borg, resulting in Picard's kidnap, while Commander Riker encounters a beautiful rival with an eye on his job."
Tokyo Olympiad,"This impressionistic portrait of the 1964 Tokyo Summer Olympics pays as much attention to the crowds and workers as it does to the actual competitive events. Highlights include an epic pole-vaulting match between West Germany and America, and the final marathon race through Tokyo's streets. Two athletes are highlighted: Ethiopian marathon runner Abebe Bikila, who receives his second gold medal, and runner Ahamed Isa from Chad, representing a country younger than he is."
The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully."
Gangs of Wasseypur – Part 2,"After the death of his father and brother Danish, Faizal Khan vows to take revenge by destroying Ramadhir Singh's gang."
Youth of May,"A budding love story between a medical student and a nurse takes place in May 1980, during a time of civil unrest and military oppression in Gwangju."
Amélie,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
My Life as a Zucchini,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own."
